Turno	Data e hora	Pallets expedidos	Total de cargas	Em descida	Zona mista	Piso novo armazém	Fifo 1	Fifo 2	Fifo 3	Fifo 4	Fifo 5	Observação	Responsável
TURNO 2	09/08/2025	756	18	ADE. SGC 09/08	ADE. VARGINHA 08.08 REMESSA( 898908972) SOBRA DE SGC 09.08 REMESSA(898904816) ADE. SGC 07.08 REMESSA (898904879) 1 PLT DEVOLUÇÃO DE MP	ZERADO	DEVOLUÇÃO IVENTARIADO DEDUTIVEL FINALIZADO	SJP ODISSEIA EM CARREGAMENTO REGISTRO EM CARREGAMENTO	ADE. PARANÁ 08.08 PEND. REMESSA ADE. PARANÁ DIA 09.08 PEND SEPARAÇÃO ADE. SGC 08.08 PEND TM ADE. VARGINHA 09.08 EM SEPARAÇÃO	F1 CARGA PEND CARREGAMENTO 2 FILEIRAS F1 PARA ESTORNAR	F1 PEND  ESTORNO	SOLICITAR ADERENCIA REGISTRO 09.08 SOLICITAR DEDUTIVEL PA NÃO INFLAMAVEL 3 NFS COM ERRO, CHAMADO ABERTO	Elane Santos
TURNO 3	10/08/2025	125	12	ZERADO	* ADE. VARGINHA 08.08 (898908972) * SOBRA DE SGC 09.08 (898904816) * ADE. SGC 07.08 (898904879) * 1 PLT DEVOLUÇÃO DE MP	ZERADO	* DEVOLUÇÃO INVENTARIADO * DEDUTIVEL FINALIZADO * FP LOG	* AD. VARGINHA 09.08 - PEND TM (898912401)	* ADE. PARANÁ 08.08 - PEND TM (898912154) * AD. SGC 08.08 - PEND TM (898912177) * AD. VARGINHA 08.08 -  PEND TM (898912086) * AD. REGISTRO 08.08 - PEND TM (898912141) * AD. REGISTRO 09.08 - PEND TM (898911513) * ADE. PARANÁ 08.08 - PEND TM (898910239) * AD. SGC - PEND TM (898912407) * AD. SGC 08.08 - PEND TM (898908911) * AD SGC 09.08 - PEND TM (898911212) * AD. REGISTRO - PEND TM (898912406) * AD. PARANÁ 09.08 - PEND TM (898910947)	* F1 - FATURADO, AGUARDANDO BAÚ (898912129) * F1 - AGUARDANDO DESBLOQUEIO DA QUALIDADE	* F1 - PEND  ESTORNO	* ADERÊNCIA PENDENTE AJUSTE DRP * 3 NFS COM ERRO, CHAMADO ABERTO	Santos Gisele
TURNO 1	10/08/2025	225	2	ZERO DESCIDA	* SOBRA DE SGC 09.08 (898904816) * ADE. SGC 07.08 (898904879) * 1 PLT DEVOLUÇÃO DE MP	VAZIO	*  DEVOLUÇÃO INVENTARIADO  * DEDUTIVEL PAPEL - SEPARADO * FP LOG	* DEDUTIVEL PA NÃO INFLAMÁVEL - SEPARADO  * AD. VARGINHA 09.08 - PEND TM (898912401) *  AD. VARGINHA 09/08 - - PEND TM (898914274) * AD. VARGINHA 08/08 - - PEND TM (898914677)	* * ADE. PARANÁ 08.08 - PEND TM (898912154) * * AD. SGC 08.08 - PEND TM (898912177) * * AD. VARGINHA 08.08 -  PEND TM (898912086) * * AD. REGISTRO 08.08 - PEND TM (898912141) * * AD. REGISTRO 09.08 - PEND TM (898911513) * * ADE. PARANÁ 08.08 - PEND TM (898910239) * * AD. SGC - PEND TM (898912407) * * AD. SGC 08.08 - PEND TM (898908911) * * AD SGC 09.08 - PEND TM (898911212) * * AD. REGISTRO - PEND TM (898912406) * * AD. PARANÁ 09.08 - PEND TM (898910947) * AD. SGC 08.08 - PEND TM - PEND. CRIAR REMESSA (9 UCS) * * AD SGC 09.08 - PEND CRIAR REMESSA (4 UCS)	F1 LOGIC 898913398 - FATURADA AG. BAÚ PLT PEND. ESTORNO	F1 LOGIC 898912129 - FATURADA AG BAÚ F1 LOGIC - PEND. FATURAR (FIFO 4A)	ATUAÇÃO EM DEDUTÍVEL - PA NÃO INFLAMÁVEL (40 PLTS SOLICITADOS) ATUAÇÃO EM TAREFAS PENDENTES/ CAMPO TRANSITÓRIO E ÁREA DE DIVERGÊNCIA	Sandy Santos
TURNO 2	10/08/2025	234	3	ZERO DESCIDA	* AD PARANÁ * AD REGISTRO *1 PLT DEVOLUÇÃO DE MP	VAZIO	* DEVOLUÇÃO INVENTARIADO * DEDUTIVEL PAPEL - SEPARADO * FP LOG	*  DEDUTIVEL PA NÃO INFLAMÁVEL - SEPARADO * AD. VARGINHA 09.08 - PEND TM (898912401) * AD. VARGINHA 09/08 - - PEND TM (898914274) * AD. VARGINHA 08/08 - - PEND TM (898914677)	* ADE. PARANÁ 08.08 - PEND TM (898912154) *  AD. VARGINHA 08.08 -  PEND TM (898912086) * AD. REGISTRO 08.08 - PEND TM (898912141) * AD. REGISTRO 09.08 - PEND TM (898911513) *  ADE. PARANÁ 08.08 - PEND TM (898910239) * AD. REGISTRO - PEND TM (898912406) * AD. PARANÁ 09.08 - PEND TM (898910947)	* F1 LOGIC - FIFO 4A PEND CRIAR REMESSA * F1 LOGIC - FIFO 4 PEND CRIAR REMESSA * F1 LOGIC - FATURADA 898916996 PEND BAU	*F1 LOGIC - PEND ESTORNO	* F1 - REMESSA 898912129 CARREGADA NO BAU DA PIZZATTO: TAV4C49 * F1 - REMESSA: 898913398 CARREGADA NO BAU DA PIZZATTO: RHJ2D35 * ATUAÇÃO EM TAREFAS PENDENTES/ CAMPO TRANSITÓRIO E ÁREA DE DIVERGÊNCIA 04 NFS COM ERRO - CHAMADO ABERTO	Beatriz Suzart
TURNO 3	11/08/2025	0	0	ZERADO	AD PARANÁ AD REGISTRO 1 PLT DEVOLUÇÃO DE MP	VAZIO	DEVOLUÇÃO INVENTARIADO DEDUTIVEL PAPEL - SEPARADO FP LOG	DEDUTIVEL PA NÃO INFLAMÁVEL - SEPARADO AD. VARGINHA 09.08 - PEND TM (898912401) AD. VARGINHA 09/08 - - PEND TM (898914274) AD. VARGINHA 08/08 - - PEND TM (898914677)	ADE. PARANÁ 08.08 - PEND TM (898912154) AD. VARGINHA 08.08 -  PEND TM (898912086) AD. REGISTRO 08.08 - PEND TM (898912141) AD. REGISTRO 09.08 - PEND TM (898911513) ADE. PARANÁ 08.08 - PEND TM (898910239) AD. REGISTRO - PEND TM (898912406) AD. PARANÁ 09.08 - PEND TM (898910947)	F1 LOGIC - FIFO 4A PEND CRIAR REMESSA F1 LOGIC - FIFO 4 PEND CRIAR REMESSA F1 LOGIC - FIFO 3 PEND CRIAR REMESSA F1 LOGIC - FATURADA 898916996 PEND BAU	F1 LOGIC - PEND ESTORNO	F1 - REMESSA 898912129 CARREGADA NO BAU DA PIZZATTO: TAV4C49 F1 - REMESSA: 898913398 CARREGADA NO BAU DA PIZZATTO: RHJ2D35 ATUAÇÃO EM TAREFAS PENDENTES/ CAMPO TRANSITÓRIO 04 NFS COM ERRO - CHAMADO ABERTO	Santos Gisele
TURNO 1	11/08/2025	144	3	ZERO DESCIDA	* * AD PARANÁ * * AD REGISTRO * *1 PLT DEVOLUÇÃO DE MP * *1 PLT DEVOLUÇÃO RÓTULO	VAZIO	* * DEVOLUÇÃO INVENTARIADO - AG. NF  * * DEVOLUÇÃO INVENTARIADO - PEND. SOLICITAR NF * * DEDUTIVEL PAPEL - SEPARADO	* *  DEDUTIVEL PA NÃO INFLAMÁVEL - SEPARADO (AG. CARREGAMENTO) * * AD. VARGINHA 09.08 - PEND TM (898912401) * * AD. VARGINHA 09/08 - - PEND TM (898914274) * * AD. VARGINHA 08/08 - - PEND TM (898914677)	F1 LOGIC - 48 UCS PEND. CRIAR REMESSA (FIFO 4 SISTÊMICO)	F1 LOGIC (898930816) - FATURADA AG. BAÚ	F1 - 02 FILEIRAS ESTORNADAS (PEND. TRANSFERIR PARA FIFO) PLT PEND. ESTORNO	* * F1 - REMESSA 898912129 CARREGADA NO BAÚ DA PIZZATTO: TAV4C49 * * F1 - REMESSA: 898913398 CARREGADA NO BAÚ DA PIZZATTO: RHJ2D35 * * ATUAÇÃO EM TAREFAS PENDENTES/ CAMPO TRANSITÓRIO/ ÁREA DE DIVERGÊNCIA * * ATUAÇÃO EM OPORTUNIDADES DE COMPACTAÇÃO DE PALLETS NO TRANSELEVADOR * * 04 NFS COM ERRO - CHAMADO ABERTO	Sandy Santos
TURNO 2	11/08/2025	404	10	SGC ( ITENS LILY)	ADE. PARANÁ 09/08 ADE. REGISTRO 09/08 DEVOLUÇÃO DE MP PALETE DE ESTOJOS TESTE HEROES PARA REGISTRO	ZERADO	DEVOLUÇÃO  DEDUTIVEL	REGISTRO(COOPECARGA) PEND REMESSA SGC 36 PLTS EM SEPARAÇÃO (LILY) CARREGAR DOUBLO DECK	VAZIO	39 PLTS F1 SEPARADO NO FIFO 4A	DUAS CARGAS LOGIC FINALIZADAS( AGUARDANDO BAÚ)	PENDENTE CRIAR LISTA SGC E PARANÁ ATENÇÃO AOS ITENS DO LILY, CARGAS SEPARADAS E DOUBLO DECK	Elane Santos
TURNO 2	11/08/2025	404	10	SGC ( ITENS DO LILY)	DEVOLUÇÃO DE MP PALETE DO TESTE HEROES ADE. PARANÁ 09.08 ADE REGISTRO 09.08	ZERADO	DEDUTIVEL SEPARADO  DUAS CARGAS DEVOLUÇÃO (AGUARDANDO NF)	SGC (LILY) EM DESCIDA 36 PLTS DOUBLO DECK) REGISTRO (LILY) PEND REMESSA)	VAZIO	LOGIC NO FIFO 4A PEND COMPLETAR CARGA	DUAS CARGAS LOGIC PEND BAÚ	ITENS DO LILY CARGAS SEPARADAS (DOUBLO DECK PEND CRIAR LISTA SGC E PARANÁ	Elane Santos
TURNO 3	12/08/2025	334	10	* SGC- 12/08  * SOBRA DE VARGINHA: 04 PLTS  * ADERÊNCIA DE REGISTRO : 01 PLT	* DEVOLUÇÃO DE MP * PALETE DO TESTE HEROES  * ADE. PARANÁ 09.08 - (898915095)- PEND. TM  * ADE. REGISTRO 12/08 - EM SEPARAÇÃO (Sist FIFO 3)	ZERADO	* DEDUTIVEL SEPARADO * DUAS CARGAS DEVOLUÇÃO (AGUARDANDO NF) * SOBRA REGISTRO 12.08 (898948048) - PEND. TM	* SGC 12/08 - EM DESCIDA  OBS: 01 PLT JÁ SEPARADO  NO EXPEDE	VARGINHA - CRIAR REMESSA	* F1 - AGUARDANDO BAÚ LOGIC (898946980) * F1 - AGUARDANDO DESBLOQUEIO (FIFO4 - Sistêmico) *F1 - 08 PLTS PENDT. ESTORNO	* F1 - AGUARDANDO BAÚ LOGIC (898939444)	* TODA LISTA DO DIA 12/08 - CRIADA  * 03 NFS QUE ESTAVAM COM ERRO DE PALETE - LIBERADA  * ADERÊNCIA DE REGISTRO 12/08  MAPEADA - EM SEPARAÇÃO	Nicolly Araujo
TURNO 1	12/08/2025	470	15	PARANÁ	DEVOLUÇÃO DE MP •  PALETE DO TESTE HEROES •  ADE. PARANÁ 09.08 - (898915095)- PEND. TM * ADE. REGISTRO 12/08 - PEND. TM	ZERADO	DEDUTIVEL SEPARADO • CARGA DEVOLUÇÃO (AGUARDANDO NF) *SOBRA DE REGISTRO SOBRA DE VARGINHA 10PLT- PEND. CRIAR REMESSA (SIST. FIFO2A)	ETIQUETA LARANJA PARANÁ - PEND.CRIAR REMESSA (SIST.FIFO3) ETIQUETA VERMELHA 24PLT-PARANÁ-  EM DESCIDA	SOBRA DE SGC  21PLT- PEND CRIAR REMESSA (SIST. FIFO3A) SGC - EM CARREGAMENTO	PARANÁ- PEND. CRIAR REMESSA(SIST.FIFO5) F1- PEND. CRIAR REMESSA (SIST. FIFO4)	F1- PEND.  BAÚ (REMESSA 898939444) F1- PEND. ESTORNA (SIST.FIFO4A)	MAPEAR ADERENCIA DE VARGINHA E SGC 12/08 1 NF COM ERRO DE NF PALETE.	Islani Marques
TURNO 2	12/08/2025	765	24		DEVOLUÇÃO DE MP 12 PLTS SJP MP (ODISSEIA) 3 PLTS DE SOBRA DE PARANÁ 12.08 10 PLTS DE SOBRA DE VARGINHA 12.08 1 PLT DE ESTOJOS TESTE HEROES ( ERRO DE CADASTRO)	ZERADO	REGISTRO EM SEPARAÇÃO- PEND REMESSA CARGA DE REGISTRO EM CARREGAMENTO DEDUTIVEL SEPARADO DEVOLUÇÃO AGUARDANDO NFS DEVOLUÇÃO PEND DESBLOQUEIO QUALIDADE	CARGA DE LILY PARA REGISTRO- PEND CRIAR REMESSA	CARGA DE REGISTRO- EM CARREGAMENTO- PEND TM	F1 - FINALIZADO	F1- 2 FILAS PARA ESTORNAR	PENDENTE CRIAR LISTA DE SGC, VARGINHA E PARANÁ 13.08 PENDENTE MAPEAR ADERÊNCIA SGC, VARGINHA E PARANÁ 12.08 1 NF COM ERRO NA NOTA DE PALETE	Elane Santos
TURNO 3	13/08/2025	292	13	* ADERÊNCIA REGISTRO 13/08  * VARGINHA 13/08	* DEVOLUÇÃO DE MP * 12 PLTS SJP MP (ODISSEIA) * 10 PLTS DE SOBRA DE VARGINHA 12.08 - 898958253 (PEND MULTI) * 1 PLT DE ESTOJOS TESTE HEROES (ERRO DE CADASTRO, CHAMADO ABERTO) * AD VARGINHA 12.08 - 898969635 (PEND TM)	ZERADO	* AD. SGC 12.08 ((898969661)) -  PENDT. TM + CHECK AUDITOR  * SGC 13/08 (898969722) - PENDT. TM + CHECK AUDITOR (ETIQUETA LARANJA)  * DEVOLUÇÃO AGUARDANDO NFS * DEVOLUÇÃO PEND DESBLOQUEIO QUALIDADE	VAZIO	* SGC - PEND CHECK AUDITOR + TM  (898969649 + 898957896)	* F1- PEND ESTORNO	* F1 - PEND DESBLOQUEIO DA QUALIDADE (FIFO 4 - SISTÊMICO)	* ADERÊNCIA 12/08 - 99%  * LISTA 13/08 - CRIADA  (PENDENTE SOLICITAR PARANÁ E TERMINAR E VARGINHA)  * ADERÊNCIA REGISTRO 13/08 - EM DESCIDA  * MAPEAR ADERÊNCIA SGC 13/08	Nicolly Araujo
TURNO 1	13/08/2025	442	16	ODISSEIA  SJP - 898841372	DEVOLUÇÃO DE MP •  12 PLTS SJP MP (ODISSEIA) * 10 PLTS DE SOBRA DE VARGINHA 12.08 - 898958253 (PEND MULTI) •  1 PLT DE ESTOJOS TESTE HEROES (ERRO DE CADASTRO, CHAMADO ABERTO) * AD VARGINHA 12.08 - 898969635 (PEND TM) *DEVOLUÇÃO MP - PEND. NF	ZERADO	SJP- EM DESCISDA  DEVOLUÇÃO AGUARDANDO NFS DEDUTIVEL DE PAPEL  SOBRA DE PARANA- PEND SEPARAR	AD. REGISTRO- PEND. CRIAR REMESSA (SIST. FIFO2A) PARANÁ (ETIQUETA AMARELA) -PEND SEPARAR	VARGINHA - PEND CRIAR REMESSA(SIST. FIFO3) SOBRA DE VARGINHA (ETIQUETA LARANJA)- PEND. SEPARAR	PARANA- PEND CRIAR REMESSA(SIST. FIFO3A)	F1 - PEND DESBLOQUEIO DA QUALIDADE (FIFO 4 - SISTÊMICO) F1- PEND. ESTORNO	MAPEAR ADERENCIA 13/08 SGC, VARGINHA, PARANÁ	Islani Marques
TURNO 2	13/08/2025	460	14	ADE DE PARANÁ 13.08 SJP ODISSEIA REMESSAS (898939484 , 898939543)	PLTS DE ESTOJOS AGUARDANDO QUALIDADE DEVOLUÇÃO MP	ZERADO	SJP REMESSA (898939484 , 898939543) EM DESCIDA SJP MP REMESSA (898976734) PEND SPLIT	ADE PARANÁ 13.08 EM DESCIDA CARGA DE REGISTRO PEND REMESSA	CARGA DE REGISTRO 14.08 PEND REMESSA ADE. REGISTRO 13.08 PEND TM	CARGA REGISTRO EM CARREGAMENTO F1- LOGIC PARA ESTORNAR	F1- SEPARADA NO FIFO 4A F1- PENDENTE REMESSA	REMESSA DE SJP 898841372 COM ERRO NO PISO NO NOVO ARMAZEM PEND CRIAR LISTA DE SGC E VARGINHA 14.08 PEND FINALIZAR LISTA DE PARANÁ PEND ATUAR EM ADERÊNCIA DE VARGINHA E SGC 13.08	Elane Santos
TURNO 3	14/08/2025	303	11	ADERÊNCIA REGISTRO 14.08 EXPORTAÇÃO 13/08 : 898958882	DEVOLUÇÃO MP - AGUARDANDO DESBLOQUEIO DA QUALIDADE DEVOLUÇÃO MP - AGUARDANDO COLETA  AD. VARGINHA 13/08 - PENDET. CRIAR REMESSA (Sist: Fifo3A)  PALETE TESTE HEROES - VALOR LIQUIDO	35 PALETES P/ ARMAZENAR  Obs: 12 paletes já transferido para o trans (cone verde) apenas inserir.	DEDUTIVEL SEPARADO  DUAS CARGAS DEVOLUÇÃO (AGUARDANDO NF) ADERÊNCIA REGISTRO 14/08 - EM DESCIDA	PALETES P/ARMAZENAR	VAZIO	F1- CARGA AGUARDANDO DESBLOQUEIO DA QUALIDADE	F1 - 05 PALETES EXTORNADO NO EXPEDE  + 08 PALETES PARA ESTORNAR	MATERIAL NO PISO DO NOVO ARMAZEM P/ ARMAZENAR  LISTA DO DIA 14/08 - CRIADA (PENDENTE SOLICITAR APENAS VARGINHA E SGC)  PEND MAPEAR ADERÊNCIA PARANÁ 14/08  LISTA DE 01 CARGA FP LOG 14/08 - CRIADA	Nicolly Araujo
